Word,Example
baffle,cylinder #4 intake leaking.
left,#2 & 4 cylinder rocker cover gaskets leaking.
right,induction tube hose clamps loose (all cylinder).
cylinder,rocker box cover screws are loose.
gasket,#1 intake gasket leaking.
complete,induction tube hose clamps loose (all cylinder).
thrust,on start up  engine began to run rough. ran engine @ 1200 right pattern
inoperable,on start up  engine began to run rough. ran engine @ 1200 right pattern
hydraulic,on start up  engine began to run rough. ran engine @ 1200 right pattern
magnetos,#4 rocker cover gasket leaking.
pressure,left engine #4 aft baffle cracked in multiple places.
inoperable,right engine  all valve covers are leaking.
ignition,left engine all 4 rocker cover gaskets leaking.
lower,#4 intake leaking.
increasing,#3 rocker cover gasket leaking.
maintenance,top left baffle has a crack.
battery,#2 & 4 rocker covers are leaking.
broke,#4 cylinder rocker cover is leaking.
control,#4 intake leaking.
quit,#2 & 4 rocker covers leaking.
with,#4 intake is leaking.
check,#1 rocker cover leaking.
alternator,left baffle plug worn.
turn,left engine #2 & 4 side baffle seals loose.
exhaust gas tempreture ,right engine #3 aft baffle seal is loose.
cylinder head temperature,#3 rocker cover gasket torn.
open,#4 rocker cover gasket torn.
upper,#1 rocker cover gasket leaking.
tighten,during ground run pilot noticed high oil press (engine).
celsius,during ground run pilot noticed high oil press (engine).
alarm,right engine #2 intake leaks.
assystant,left engine #4 cylinder baffle cracked.
fahrenheit,right engine #4 cylinder baffle cracked.
channel,#4 cylinder intake gasket is leaking.
low,#4 rocker box cover gasket leaking.
external,baffle plug hole worn.
alpha,engine started running rough & vibrating a lot.
service bulletin,engine started running rough & vibrating a lot.
failed,engine started running rough & vibrating a lot.
suddenly,engine started running rough & vibrating a lot.
assistant,engine started running rough & vibrating a lot.
loss,#2 intake leaks.
second,#4 intake leaks.
leadingedge,#3 & 4 rocker cover gaskets are leaking.
normal,#3 intake tube gasket is leaking.
exhaust,engine would not start.
driftangle,#2 intake is leaking.
weight,rocker box cover screws loose.
cuttoff,#2 induction tube gasket leaking.
knot,#2 & 4 rocker covers are leaking.
resistance,#1 intake leaking.
tapper,left engine #4 cylinder intake gasket is leaking.
alert,rocker box cover screws loose.
vibration,#4 rocker cover leaking.
digital interface,#2 oil return line hose clamp is loose.
deficiency,rough running engine on start. engine ran smoother as it war
baffle,rough running engine on start. engine ran smoother as it war
pilot drill,#3 rocker cover is leaking.
hyd,right engine #4 cylinder baffle bolt missing.
leaksent,right engine #1 & 4 rocker covers leaking.
cat,#3 rocker cover gasket leaking.
repair/replace,left engine #4 aft baffle cracked in multiple places.
main,left engine #4 aft baffle cracked in multiple places.
hydraulic,right engine #2 intake gasket leaking.
control,baffle seals under both prop governors are loose.
valve,#2 intake is leaking.
assyho,#2 cylinder has low compression.
penninvoice,#4 rocker cover is leaking.
woce0581604,#1 & 3 rocker cover gaskets are leaking.
installation,right baffle front side has a crack.
of,cylinder #4 intake is leaking.
new,#4 rocker cover is leaking.
polycast,right engine #4 cylinder intake gasket is leaking.
sander,screw is missing on #3 cylinder baffle.
fisherbobcat,right front baffle seal loose.
of,#2 & 3 rocker cover gaskets are leaking.
stratfordinvoice,#2 cylinder intake gasket is leaking.
check,engine started running rough shortly after takeoff & landed
rear-end,engine started running rough shortly after takeoff & landed
broken,#1 & 3 intakes leaking.
axle,#2 & 4 rocker cover leaking.
tow,noted wear on engine mount caused by engine breather support
from,noted wear on engine mount caused by engine breather support
crane,noted wear on engine mount caused by engine breather support
roadbills,left engine #2  3 & 4 intakes are leaking.
towinginvoice,right engine #2 & 4 rocker covers are leaking.
check,left engine #3 rocker cover is leaking.
noise,right engine #3 & 4 intake tubes are leaking.
in,#2 rocker box cover gasket leaking.
rear,rocker box cover screws loose.
end,#4 rocker cover gasket leaking.
diff,right engine #3 rocker cover is leaking.
towed,engine overspeed up to 3400 revolutions per minute @ termination of an auto.
from,engine overspeed up to 3400 revolutions per minute @ termination of an auto.
vehicle,engine overspeed up to 3400 revolutions per minute @ termination of an auto.
maintenance,engine overspeed up to 3400 revolutions per minute @ termination of an auto.
interstate,#2 rocker cover gasket leaking.
ford,#2 cylinder has low compression.
milfordbills,#2 rocker box cover screws loose.
towing,#1 & 3 rocker covers are leaking.
invoice,right forward baffle seal loose.
fordreplace,remove engine to facilitate firewall repair.
rear,reinstall engine after repair to firewall.
bearings,reinstall engine after repair to firewall.
sealsu-jointsinvoice,#2 & 4 intake gasket leaking.
remove,#3 rocker cover leaking.
replace,aft baffle screw loose.
rear,induction tube hose clamps loose (all cylinder).
springs,engine baffle buttons worn.
check,#2 & 4 intakes are leaking.
coolant,#2 rocker cover gasket leaking.
tubespm,engine runs rough after start. engine shut down when power t
servive,engine runs rough after start. engine shut down when power t
dashpm,all rocker cover screws are loose on left engine.
servicecheck,#2 intake leaking on right engine.
tune,intakes 2  # & 4 leaking on left engine.
tires,rocker covers 2 & 4 leaking on right engine.
red,on right engine start  engine ran very rough.
light,on right engine start  engine ran very rough.
dash,#2 intake is leaking.
unit,cylinder #2 & 3 rocker covers leaking.
not,cylinder #2 intake gasket is leaking.
rejensent,#3 rocker cover leaking.
to,#2 & 4 rocker cover gaskets leaking.
gabrioelli,left engine #4 rocker cover gasket leaking.
invoice,right engine #2 intake is leaking.
truck,rocker box cover screws loose (all cylinder).
wo,induction tube hose clamps loose (all cylinder).
n't,right rear engine baffle screw missing.
run,#2 intake leaking.
towed,#4 rocker cover is leaking.
to,induction tube hose clamps loose (all cylinder).
gabrielli,#2 & 4 rocker box cover screws loose.
ford,left engine #1 intake leaking.
gabrielli,right engine #2 & 1 intake leaking.
ford,#4 rocker cover is leaking.
re-man,rocker box cover screws loose.
turbo,#4 rocker gasket leaking.
egr,#2 rocker cover is leaking.
valve,#4 cylinder has no compression.
carrier,#4 cylinder has no compression.
bearinginvoice,#2 rocker cover is leaking.
check,screw missing on #3 baffle.
brakeshyd,induction tube hose clamps loose.
leak,right engine cylinder #3 intake is leaking.
low,left engine #4 induction tube gasket leaking.
power,left engine #1  2 & 3 rocker box covers leaking.
engine,right engine all rocker cover gaskets leaking.
lite,aft baffle bracket rivets sheared.
is,front right baffle worn through from muffler shroud.
onsent,front right baffle worn through from muffler shroud.
to,#2  3 & 4 rocker gaskets leaking.
stamford,#3 aft baffle cracked in several places.
fordinvoice,#3 aft baffle cracked in several places.
check,screw missing in #4 rocker cover.
plow,#2 intake is leaking.
frame,remove engine to facilitate firewall repair.
bolts,remove engine to facilitate firewall repair.
missing,#2 rocker cover gasket leaking.
adjust,#2 & 4 rocker covers are leaking.
brakes,rocker cover gaskets 1  3 & 4 leaking.
road,#2 & 4 cylinder rocker cover gaskets leaking.
call,#1  2 & 3 rocker box cover screws loose.
to,#1 & 3 rocker covers leaking.
high,rocker box cover screws loose (all cylinder).
ridge,induction tube hose clamps loose (all cylinder).
rdtires,#2 intake gasket leaking.
fell,#3 rocker cover leaking.
offtowed,#1  2  3 cylinder intake gaskets leaking.
in,#2 induction tube hose clamp broken.
by,#4 rocker cover is leaking.
bills,#2 & 4 rocker covers leaking.
servicebroken,#3 cylinder oil return line been chafing on wire bundle.
leaf,#1 intake is leaking.
springsinvoice,rocker covers 2 & 3 leaking.
need,#2 & 3 rocker box cover gaskets leaking.
rear,#2 induction tube gasket leaking.
tirescheck,#4 rocker cover leaking.
hyd,all rocker covers have loose screws.
oil,right engine #3 intake leaking.
hyd,#4 intake gasket leaking.
leakright,right engine #2 rocker cover leaking.
side,#1 & 3 rocker box cover screws loose.
wiperremove,#2 & 4 induction tube gaskets leaking.
parts,#1 & 4 intakes leaking.
for,induction tube hose clamps loose (all cylinder).
other,right rear baffle mounting screw loose.
trucks,left baffle plug missing.
axle,#3 intake leaking.
wiper,cylinder #2 & 3 intakes are leaking.
motor,#2 intake gasket leaking.
rear,#2  3 & 4 rocker box cover screws loose.
tirescheck,#2 & 4 intake gaskets leaking.
oil,both baffle plugs worn.
unit,#1 rocker leaking.
sent,#4 intake leaking.
to,#2 rocker cover leaking.
mdanitary,rocker covers 2 & 3 leaking.
for,back left top baffle is cracked.
scale,left forward engine baffle cracked.
system,#2 rocker cover leaking.
on,left engine intakes 1  2 & 4 leaking.
front,right engine 2 & 3 intakes leaking.
forkssanitary,#3 rocker cover leaking on right engine.
equipmentinvoice,#2 intake is leaking.
unit,#3 intake is leaking.
sent,#4 cylinder intake gasket leaking.
to,#2 intake is leaking.
sanitary,spark plug baffle plug is worn.
for,#3 rocker cover gasket leaking.
scale,#2 rocker cover gasket leaking.
system,right engine #4 cylinder intake gasket is leaking.
on,right engine #1 cylinder side baffle seal is torn.
front,left side baffle cracked.
forks,#2 & 4 rocker covers are leaking.
replace,engine baffle buttons worn.
proximity,#4 intake gasket is leaking.
switches,#2 rocker cover leaking.
vulcan,both baffle plugs bad.
metersanitary,cylinder #3 back baffle screw missing.
equipmentinvoice,left engine rocker box cover screws loose.
rear,right engine #2 intake gasket leaks.
tires,#2 & 4 rocker box cover gaskets leaking.
breakdown,#4 induction tube gasket leaking.
instrument,#4 rocker cover leaking.
cluster,#1 intake gasket leaking.
and,#1 intake is leaking.
harness,cylinder #1 rocker cover gasket leaking.
burnt,#2 intake is leaking.
upfuel,cylinder #2 rocker cover leaking.
system,right engine #3 & 2 intakes leaking.
not,right engine #3 rocker cover is leaking.
workinggabrielli,#2 & 3 intakes on left engine are leaking.
mackinvoice,#2 cylinder intake gasket leaking.
check,#2 rocker cover gasket leaking.
brake,#3 rocker cover gasket leaking.
adjustment,#2 intake leaking.
pm,#3 cylinder has valve sticking.
serviceair,#3 cylinder has valve sticking.
leak,#4 cylinder intake gasket is leaking.
low,#2 intake is leaking.
coolant,#2  4 rocker cover is leaking.
bent,#2 & 3 intakes are leaking.
spinner,#4 rocker cover is leaking.
assy,engine rough on start  suspect stuck valve.
radiator,engine rough on start  suspect stuck valve.
fan,#3 intake gasket leaks.
install,right #4 side baffle missing bolts.
broom,#4 intake leaking.
main,#2 rocker cover leaking.
core,cylinder #2 & 4 intakes are leaking.
for,#4 intake leaking.
broom,#2 intake leaking.
sections,cylinder #2 & 4 intakes are leaking.
was,left engine #3 intake is leaking.
bent,right engine #4 intake is leaking.
out,right engine all 4 rocker covers are leaking.
of,left engine all 4 rocker covers are leaking.
shape,replace left engine torquemeter hoses.